;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
21948;;уважительно;УВАЖИТЕЛЬНО;ADV -;;;и ты будешь _уважительно_ относиться к этой;о;н;ь;л;е;т;A;УВАЖИТЕЛЬНЫЙ;A - - sg brev n -;О
21949;;относиться;ОТНОСИТЬСЯ;V ipf - - inf - -;;;ты будешь уважительно _относиться_ к этой культуре;я;с;ь;т;и;с;V;ОТНОСИТЬСЯ;V ipf - - inf - -;Я
21950;;к;К;PR;;;будешь уважительно относиться _к_ этой культуре ,;к;;;;;;PR;К;PR;К
21951;;этой;ЭТОТ;APRO - dat sg plen f -;;;уважительно относиться к _этой_ культуре , к;й;о;т;э;;;APRO;ЭТОТ;A - loc sg plen f -;Т
21952;;культуре;КУЛЬТУРА;S f inan dat sg;;;относиться к этой _культуре_ , к этому;е;р;у;т;ь;л;S;КУЛЬТУРА;S f inan loc sg;А
21953;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21954;;к;К;PR;;;этой культуре , _к_ этому языку .;к;;;;;;PR;К;PR;К
21955;;этому;ЭТОТ;APRO - dat sg plen m -;;;культуре , к _этому_ языку . ;у;м;о;т;э;;APRO;ЭТОТ;A - dat sg plen m -;Т
21956;;языку;ЯЗЫК;S m inan dat sg;;;, к этому _языку_ .  ;у;к;ы;з;я;;S;ЯЗЫК;S m inan dat sg;К
21957;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21958;;;;;;;;;;;;;;;;;
21959;# sent = 1551;;;;;;;;;;;;;;;;
21960;# speaker = Ольга;;;;;;;;;;;;;;;;
21961;# sent = 1552;;;;;;;;;;;;;;;;
21962;;Глобализация;ГЛОБАЛИЗАЦИЯ;S f inan nom sg;;;   _Глобализация_ почему-то не так;я;и;ц;а;з;и;S;ГЛОБАЛИЗАЦИЯ;S f inan nom sg;Я
21963;;почему-то;ПОЧЕМУ-ТО;ADVPRO;;;  Глобализация _почему-то_ не так сильно;о;т;-;у;м;е;ADV;ПОЧЕМУ-ТО;ADV -;О
21964;;не;НЕ;PART;;; Глобализация почему-то _не_ так сильно задела;е;н;;;;;PART;НЕ;PART;Е
21965;;так;ТАК;PART;;;Глобализация почему-то не _так_ сильно задела Францию;к;а;т;;;;ADV;ТАК;ADV -;К
21966;;сильно;СИЛЬНО;ADV -;;;почему-то не так _сильно_ задела Францию и;о;н;ь;л;и;с;ADV;СИЛЬНО;ADV -;О
21967;;задела;ЗАДЕТЬ;V pf praet sg indic f -;;;не так сильно _задела_ Францию и Париж;а;л;е;д;а;з;V;ЗАДЕТЬ;V pf praet sg indic f -;Ь
21968;;Францию;ФРАНЦИЯ;S f inan acc sg ;;;так сильно задела _Францию_ и Париж ,;ю;и;ц;н;а;р;S;ФРАНЦИЯ;S f inan acc sg;Я
21969;;и;И;CONJ;;;сильно задела Францию _и_ Париж , и;и;;;;;;CONJ;И;CONJ;И
21970;;Париж;ПАРИЖ;S m inan acc sg;;;задела Францию и _Париж_ , и ...;ж;и;р;а;п;;S;ПАРИЖ;S m inan nom sg;Ж
21971;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21972;;и;И;CONJ;;;и Париж , _и_ ... этот язык;и;;;;;;CONJ;И;CONJ;И
21973;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
21974;;этот;ЭТОТ;APRO - nom sg plen m -;;;, и ... _этот_ язык глобализации ,;т;о;т;э;;;APRO;ЭТОТ;A - nom sg plen m -;Т
21975;;язык;ЯЗЫК;S m inan nom sg;;;и ... этот _язык_ глобализации , английский;к;ы;з;я;;;S;ЯЗЫК;S m inan nom sg;К
21976;;глобализации;ГЛОБАЛИЗАЦИЯ;S f inan gen sg;;;... этот язык _глобализации_ , английский ,;и;и;ц;а;з;и;S;ГЛОБАЛИЗАЦИЯ;S f inan gen sg;Я
21977;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21978;;английский;АНГЛИЙСКИЙ;A - nom sg plen m -;;;язык глобализации , _английский_ , во Франции;й;и;к;с;й;и;A;АНГЛИЙСКИЙ;A - nom sg plen m -;Й
21979;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
21980;;во;ВО;PR;;;, английский , _во_ Франции почему-то не;о;в;;;;;PR;ВО;PR;О
21981;;Франции;ФРАНЦИЯ;S f inan loc2 sg;;;английский , во _Франции_ почему-то не прижился;и;и;ц;н;а;р;S;ФРАНЦИЯ;S f inan loc sg;Я
21982;;почему-то;ПОЧЕМУ-ТО;ADVPRO;;;, во Франции _почему-то_ не прижился .;о;т;-;у;м;е;ADV;ПОЧЕМУ-ТО;ADV -;О
21983;;не;НЕ;PART;;;во Франции почему-то _не_ прижился . ;е;н;;;;;PART;НЕ;PART;Е
21984;;прижился;ПРИЖИТЬСЯ;V pf praet sg indic m -;;;Франции почему-то не _прижился_ .  ;я;с;л;и;ж;и;V;ПРИЖИТЬСЯ;V pf praet sg indic m -;Я
21985;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
21986;;;;;;;;;;;;;;;;;
21987;# sent = 1553;;;;;;;;;;;;;;;;
21988;;Ну;НУ;PART;;;.   _Ну_ а если уж;у;н;;;;;PART;НУ;PART;У
21989;;а;А;PART;;;  Ну _а_ если уж вам;а;;;;;;CONJ;А;CONJ;А
21990;;если;ЕСЛИ;CONJ;;; Ну а _если_ уж вам очень;и;л;с;е;;;CONJ;ЕСЛИ;CONJ;И
21991;;уж;УЖ;PART;;;Ну а если _уж_ вам очень нужно;ж;у;;;;;PART;УЖ;PART;Ж
21992;;вам;ВЫ;SPRO pl 2p - dat;;;а если уж _вам_ очень нужно что-то;м;а;в;;;;SPRO;ВЫ;SPRO pl 2p - dat;Ы
21993;;очень;ОЧЕНЬ;ADV -;;;если уж вам _очень_ нужно что-то купить;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
21994;;нужно;НУЖНО;PRAEDIC;;;уж вам очень _нужно_ что-то купить или;о;н;ж;у;н;;PRAEDIC;НУЖНО;ADV -;О
21995;;что-то;ЧТО-ТО;SPRO - inan acc sg;;;вам очень нужно _что-то_ купить или хотя бы;о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - acc sg;О
21996;;купить;КУПИТЬ;V pf - - inf - -;;;очень нужно что-то _купить_ или хотя бы ,;ь;т;и;п;у;к;V;КУПИТЬ;V pf - - inf - -;Ь
21997;;или;ИЛИ;CONJ;;;нужно что-то купить _или_ хотя бы , м;и;л;и;;;;CONJ;ИЛИ;CONJ;И
21998;;хотя бы;хотя бы;PART;раздельно;;что-то купить или _хотя бы_ , м ,;ы;б; ;я;т;о;ADV;хотя бы;ADV -;ы
21999;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22000;;м;М;NONLEX;;;или хотя бы , _м_ , приобрести интересное;м;;;;;;INTJ;М;S - - nonflex -;М
22001;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22002;;приобрести;ПРИОБРЕСТИ;V pf - - inf - -;;;, м , _приобрести_ интересное в Париже;и;т;с;е;р;б;V;ПРИОБРЕСТИ;V pf - - inf - -;И
22003;;интересное;ИНТЕРЕСНЫЙ;A - acc sg plen n inan;;;м , приобрести _интересное_ в Париже ,;е;о;н;с;е;р;A;ИНТЕРЕСНЫЙ;A - acc sg plen n inan;Й
22004;;в;В;PR;;;, приобрести интересное _в_ Париже , подойдите;в;;;;;;PR;В;PR;В
22005;;Париже;ПАРИЖ;S m inan loc2 sg;;;приобрести интересное в _Париже_ , подойдите к;е;ж;и;р;а;п;S;ПАРИЖ;S m inan loc sg;Ж
22006;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22007;;подойдите;ПОДОЙТИ;V pf - pl imper - 2p;;;в Париже , _подойдите_ к полицейскому ,;е;т;и;д;й;о;V;ПОДОЙТИ;V pf - pl imper - 2p;И
22008;;к;К;PR;;;Париже , подойдите _к_ полицейскому , спросите;к;;;;;;PR;К;PR;К
22009;;полицейскому;ПОЛИЦЕЙСКИЙ;S m anim dat sg;;;, подойдите к _полицейскому_ , спросите ,;у;м;о;к;с;й;S;ПОЛИЦЕЙСКИЙ;S m anim dat sg;Й
22010;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22011;;спросите;СПРОСИТЬ;V pf pl imper - 2p;;;к полицейскому , _спросите_ , он вам;е;т;и;с;о;р;V;СПРОСИТЬ;V pf fut pl indic - 2p;Ь
22012;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22013;;он;ОН;SPRO sg 3p m nom;;;, спросите , _он_ вам и покажет;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
22014;;вам;ВЫ;SPRO pl 2p - dat;;;спросите , он _вам_ и покажет ,;м;а;в;;;;SPRO;ВЫ;SPRO pl 2p - dat;Ы
22015;;и;И;CONJ;;;, он вам _и_ покажет , и;и;;;;;;CONJ;И;CONJ;И
22016;;покажет;ПОКАЗАТЬ;V pf fut sg indic - 3p;;;он вам и _покажет_ , и ,;т;е;ж;а;к;о;V;ПОКАЗАТЬ;V pf fut sg indic - 3p;Ь
22017;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22018;;и;И;CONJ;;;и покажет , _и_ , возможно ,;и;;;;;;CONJ;И;CONJ;И
22019;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22020;;возможно;ВОЗМОЖНО;PARENTH;;;, и , _возможно_ , даже проведёт;о;н;ж;о;м;з;ADV;ВОЗМОЖНО;ADV -;О
22021;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22022;;даже;ДАЖЕ;PART;;;, возможно , _даже_ проведёт . ;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
22023;;проведёт;ПРОВЕСТИ;V pf fut sg indic - 3p;;;возможно , даже _проведёт_ .  ;т;ё;д;е;в;о;V;ПРОВЕСТИ;V pf fut sg indic - 3p;И
22024;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22025;;;;;;;;;;;;;;;;;
22026;# sent = 1554;;;;;;;;;;;;;;;;
22027;;Уж;УЖ;PART;;;.   _Уж_ такие они галантные;ж;у;;;;;PART;УЖ;PART;Ж
22028;;такие;ТАКОЙ;APRO - nom pl plen - -;;;  Уж _такие_ они галантные ,;е;и;к;а;т;;APRO;ТАКОЙ;A - nom pl plen - -;Й
22029;;они;ОНИ;SPRO pl - - nom;;; Уж такие _они_ галантные , эти;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
22030;;галантные;ГАЛАНТНЫЙ;A - nom pl plen - -;;;Уж такие они _галантные_ , эти французы;е;ы;н;т;н;а;A;ГАЛАНТНЫЙ;A - nom pl plen - -;Й
22031;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22032;;эти;ЭТОТ;APRO - nom pl plen - -;;;они галантные , _эти_ французы . ;и;т;э;;;;APRO;ЭТОТ;A - nom pl plen - -;Т
22033;;французы;ФРАНЦУЗ;S m anim nom pl;;;галантные , эти _французы_ .  ;ы;з;у;ц;н;а;S;ФРАНЦУЗ;S m anim nom pl;З
22034;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22035;;;;;;;;;;;;;;;;;
22036;# sent = 1555;;;;;;;;;;;;;;;;
22037;;Ну;НУ;PART;;;.   _Ну_ , кстати ,;у;н;;;;;PART;НУ;PART;У
22038;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22039;;кстати;КСТАТИ;PARENTH;;; Ну , _кстати_ , ааа ,;и;т;а;т;с;к;ADV;КСТАТИ;ADV -;И
22040;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22041;;ааа;ААА;NONLEX;;;, кстати , _ааа_ , полицейские очень;а;а;а;;;;INTJ;ААА;S m inan nonflex -;А
22042;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22043;;полицейские;ПОЛИЦЕЙСКИЙ;S m anim nom pl;;;, ааа , _полицейские_ очень спокойные .;е;и;к;с;й;е;S;ПОЛИЦЕЙСКИЙ;S m anim nom pl;Й
22044;;очень;ОЧЕНЬ;ADV -;;;ааа , полицейские _очень_ спокойные . ;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
22045;;спокойные;СПОКОЙНЫЙ;A - nom pl plen - -;;;, полицейские очень _спокойные_ .  ;е;ы;н;й;о;к;A;СПОКОЙНЫЙ;A - nom pl plen - -;Й
22046;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22047;;;;;;;;;;;;;;;;;
22048;# sent = 1556;;;;;;;;;;;;;;;;
22049;;В;В;PR;;;.   _В_ России это не;в;;;;;;PR;В;PR;В
22050;;России;РОССИЯ;S f inan loc2 sg;;;  В _России_ это не совсем;и;и;с;с;о;р;S;РОССИЯ;S f inan loc sg;Я
22051;;это;ЭТО;SPRO n - nom sg;;; В России _это_ не совсем так;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
22052;;не;НЕ;PART;;;В России это _не_ совсем так ,;е;н;;;;;PART;НЕ;PART;Е
22053;;совсем;СОВСЕМ;ADV -;;;России это не _совсем_ так , а;м;е;с;в;о;с;ADV;СОВСЕМ;ADV -;М
22054;;так;ТАК;ADVPRO;;;это не совсем _так_ , а вот;к;а;т;;;;ADV;ТАК;ADV -;К
22055;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22056;;а;А;CONJ;;;совсем так , _а_ вот во Франции;а;;;;;;CONJ;А;CONJ;А
22057;;вот;ВОТ;PART;;;так , а _вот_ во Франции ...;т;о;в;;;;PART;ВОТ;PART;Т
22058;;во;ВО;PR;;;, а вот _во_ Франции ... мда;о;в;;;;;PR;ВО;PR;О
22059;;Франции;ФРАНЦИЯ;S f inan loc2 sg;;;а вот во _Франции_ ... мда ...;и;и;ц;н;а;р;S;ФРАНЦИЯ;S m anim dat sg;Я
22060;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
22061;;мда;МДА;INTJ;;;во Франции ... _мда_ ... они вам;а;д;м;;;;INTJ;МДА;INTJ;А
22062;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
22063;;они;ОНИ;SPRO pl - - nom;;;... мда ... _они_ вам обязательно помогут;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
22064;;вам;ВЫ;SPRO pl 2p - dat;;;мда ... они _вам_ обязательно помогут .;м;а;в;;;;SPRO;ВЫ;SPRO pl 2p - dat;Ы
22065;;обязательно;ОБЯЗАТЕЛЬНО;ADV -;;;... они вам _обязательно_ помогут . ;о;н;ь;л;е;т;ADV;ОБЯЗАТЕЛЬНО;ADV -;О
22066;;помогут;ПОМОЧЬ;V pf fut pl indic - 3p;;;они вам обязательно _помогут_ .  ;т;у;г;о;м;о;V;ПОМОЧЬ;V pf fut pl indic - 3p;Ь
22067;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22068;;;;;;;;;;;;;;;;;
22069;# sent = 1557;;;;;;;;;;;;;;;;
22070;# speaker = Ольга;;;;;;;;;;;;;;;;
22071;# sent = 1558;;;;;;;;;;;;;;;;
22072;;Что;ЧТО;SPRO - inan nom sg;;;   _Что_ касается парижской кухни;о;т;ч;;;;SPRO;ЧТО;S n - nom sg;О
22073;;касается;КАСАТЬСЯ;V ipf praes sg indic - 3p;;;  Что _касается_ парижской кухни ,;я;с;т;е;а;с;V;КАСАТЬСЯ;V ipf praes sg indic - 3p;Я
22074;;парижской;ПАРИЖСКИЙ;A - gen sg plen f -;;; Что касается _парижской_ кухни , тут;й;о;к;с;ж;и;A;ПАРИЖСКИЙ;A - gen sg plen f -;Й
22075;;кухни;КУХНЯ;S f inan gen sg;;;Что касается парижской _кухни_ , тут уже;и;н;х;у;к;;S;КУХНЯ;S f inan gen sg;Я
22076;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22077;;тут;ТУТ;ADVPRO;;;парижской кухни , _тут_ уже я даже;т;у;т;;;;ADV;ТУТ;ADV -;Т
22078;;уже;УЖЕ;PART;;;кухни , тут _уже_ я даже не;е;ж;у;;;;ADV;УЖЕ;ADV -;Е
22079;;я;Я;SPRO sg 1p - nom;;;, тут уже _я_ даже не буду;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
22080;;даже;ДАЖЕ;PART;;;тут уже я _даже_ не буду тратить;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
22081;;не;НЕ;PART;;;уже я даже _не_ буду тратить время;е;н;;;;;PART;НЕ;PART;Е
22082;;буду;БЫТЬ;V ipf praes sg indic - 1p;;;я даже не _буду_ тратить время на;у;д;у;б;;;V;БЫТЬ;V ipf praes sg indic - 1p;Ь
22083;;тратить;ТРАТИТЬ;V ipf - - inf - -;;;даже не буду _тратить_ время на то;ь;т;и;т;а;р;V;ТРАТИТЬ;V ipf - - inf - -;Ь
22084;;время;ВРЕМЯ;S n inan acc sg;;;не буду тратить _время_ на то чтобы;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg;Я
22085;;на;НА;PR;;;буду тратить время _на_ то чтобы рассказывать;а;н;;;;;PR;НА;PR;А
22086;;то;ТО;SPRO n - acc sg;;;тратить время на _то_ чтобы рассказывать ,;о;т;;;;;SPRO;ТО;S n - acc sg;О
22087;;чтобы;ЧТОБЫ;CONJ;;;время на то _чтобы_ рассказывать , какие;ы;б;о;т;ч;;CONJ;ЧТОБЫ;CONJ;Ы
22088;;рассказывать;РАССКАЗЫВАТЬ;V ipf - - inf - -;;;на то чтобы _рассказывать_ , какие кафе;ь;т;а;в;ы;з;V;РАССКАЗЫВАТЬ;V ipf - - inf - -;Ь
22089;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22090;;какие;КАКОЙ;APRO - nom pl plen - -;;;чтобы рассказывать , _какие_ кафе и ресторанчики;е;и;к;а;к;;APRO;КАКОЙ;A - nom pl plen - -;Й
22091;;кафе;КАФЕ;S n inan nom pl;;;рассказывать , какие _кафе_ и ресторанчики -;е;ф;а;к;;;S;КАФЕ;S n inan nonflex -;Е
22092;;и;И;CONJ;;;, какие кафе _и_ ресторанчики - их;и;;;;;;CONJ;И;CONJ;И
22093;;ресторанчики;РЕСТОРАНЧИК;S m inan nom pl;;;какие кафе и _ресторанчики_ - их бесчётное;и;к;и;ч;н;а;S;РЕСТОРАНЧИК;S m inan nom pl;К
22094;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
22095;;их;ОНИ;SPRO pl 3p - gen;;;и ресторанчики - _их_ бесчётное количество можно;х;и;;;;;SPRO;ИХ;A - nonflex - plen - -;И
22096;;бесчётное;БЕСЧЕТНЫЙ;A - acc sg plen n -;;;ресторанчики - их _бесчётное_ количество можно посетить;е;о;н;т;ё;ч;A;БЕСЧЕТНЫЙ;A - nom sg plen n -;Й
22097;;количество;КОЛИЧЕСТВО;S n inan acc sg;;;- их бесчётное _количество_ можно посетить в;о;в;т;с;е;ч;S;КОЛИЧЕСТВО;S n inan nom sg;О
22098;;можно;МОЖНО;PRAEDIC;;;их бесчётное количество _можно_ посетить в Париже;о;н;ж;о;м;;PRAEDIC;МОЖНО;PRAEDIC;О
22099;;посетить;ПОСЕТИТЬ;V pf - - inf - -;;;бесчётное количество можно _посетить_ в Париже ,;ь;т;и;т;е;с;V;ПОСЕТИТЬ;V pf - - inf - -;Ь
22100;;в;В;PR;;;количество можно посетить _в_ Париже , насладиться;в;;;;;;PR;В;PR;В
22101;;Париже;ПАРИЖ;S m inan loc2 sg;;;можно посетить в _Париже_ , насладиться и;е;ж;и;р;а;п;S;ПАРИЖ;S m inan loc sg;Ж
22102;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22103;;насладиться;НАСЛАДИТЬСЯ;V pf - - inf - -;;;в Париже , _насладиться_ и фуа -;я;с;ь;т;и;д;V;НАСЛАДИТЬСЯ;V pf - - inf - -;Я
22104;;и;И;CONJ;;;Париже , насладиться _и_ фуа - гра;и;;;;;;CONJ;И;CONJ;И
22105;;фуа;ФУА;COM;слитно;;, насладиться и _фуа_ - гра ,;а;у;ф;;;;COM;ФУА;S f inan nonflex -;А
22106;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
22107;;гра;ГРА;A - loc pl plen - -;слитно;;и фуа - _гра_ , и лягушачьими;а;р;г;;;;A;ГРА;A - loc pl plen - -;А
22108;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22109;;и;И;CONJ;;;- гра , _и_ лягушачьими лапками .;и;;;;;;CONJ;И;CONJ;И
22110;;лягушачьими;ЛЯГУШАЧИЙ;A - ins pl plen - -;;;гра , и _лягушачьими_ лапками . ;и;м;и;ь;ч;а;A;ЛЯГУШАЧИЙ;A - ins pl plen - -;Й
22111;;лапками;ЛАПКА;S f inan ins pl;;;, и лягушачьими _лапками_ .  ;и;м;а;к;п;а;S;ЛАПКА;S f inan ins pl;А
22112;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22113;;;;;;;;;;;;;;;;;
22114;# sent = 1559;;;;;;;;;;;;;;;;
22115;;Но;НО;CONJ;;;.   _Но_ , поверьте ,;о;н;;;;;CONJ;НО;CONJ;О
22116;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22117;;поверьте;ПОВЕРИТЬ;V pf - pl imper - 2p;;; Но , _поверьте_ , парижские и;е;т;ь;р;е;в;V;ПОВЕРИТЬ;V pf - pl imper - 2p;Ь
22118;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22119;;парижские;ПАРИЖСКИЙ;A - nom pl plen - -;;;, поверьте , _парижские_ и французские повара;е;и;к;с;ж;и;A;ПАРИЖСКИЙ;A - nom pl plen - -;Й
22120;;и;И;CONJ;;;поверьте , парижские _и_ французские повара -;и;;;;;;CONJ;И;CONJ;И
22121;;французские;ФРАНЦУЗСКИЙ;A - nom pl plen - -;;;, парижские и _французские_ повара - самые;е;и;к;с;з;у;A;ФРАНЦУЗСКИЙ;A - nom pl plen - -;Й
22122;;повара;ПОВАР;S m anim nom pl;;;парижские и французские _повара_ - самые изысканные;а;р;а;в;о;п;S;ПОВАР;S m anim nom pl;Р
22123;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
22124;;самые;САМЫЙ;APRO nom pl plen ;;;французские повара - _самые_ изысканные повара в;е;ы;м;а;с;;A;САМЫЙ;A - nom pl plen - -;Й
22125;;изысканные;ИЗЫСКАННЫЙ;A - nom pl plen - -;;;повара - самые _изысканные_ повара в мире;е;ы;н;н;а;к;A;ИЗЫСКАННЫЙ;A - nom pl plen - -;Й
22126;;повара;ПОВАР;S m anim nom pl;;;- самые изысканные _повара_ в мире ,;а;р;а;в;о;п;S;ПОВАР;S m anim nom pl;Р
22127;;в;В;PR;;;самые изысканные повара _в_ мире , а;в;;;;;;PR;В;PR;В
22128;;мире;МИР;S m inan loc2 sg;;;изысканные повара в _мире_ , а их;е;р;и;м;;;S;МИР;S m inan loc sg;Р
22129;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22130;;а;А;CONJ;;;в мире , _а_ их вина ,;а;;;;;;CONJ;А;CONJ;А
22131;;их;ИХ;APRO - nom pl plen - -;;;мире , а _их_ вина , настоящие;х;и;;;;;APRO;ИХ;A - nonflex - plen - -;Х
22132;;вина;ВИНО;S n inan nom pl;;;, а их _вина_ , настоящие вина;а;н;и;в;;;S;ВИНА;S n inan gen sg;О
22133;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22134;;настоящие;НАСТОЯЩИЙ;A - nom pl plen - -;;;их вина , _настоящие_ вина Франции придётся;е;и;щ;я;о;т;A;НАСТОЯЩИЙ;A - nom pl plen - -;Й
22135;;вина;ВИНО;S n inan nom pl;;;вина , настоящие _вина_ Франции придётся ...;а;н;и;в;;;S;ВИНО;S n inan nom pl;О
22136;;Франции;ФРАНЦИЯ;S f inan gen sg;;;, настоящие вина _Франции_ придётся ... придутся;и;и;ц;н;а;р;S;ФРАНЦИЯ;S f inan gen sg;Я
22137;;придётся;ПРИЙТИСЬ;V pf fut sg indic - 3p;;;настоящие вина Франции _придётся_ ... придутся по;я;с;т;ё;д;и;V;ПРИЙТИСЬ;V pf fut sg indic - 3p;Ь
22138;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
22139;;придутся;ПРИЙТИСЬ;V pf fut pl indic - 3p;;;Франции придётся ... _придутся_ по вкусу каждому;я;с;т;у;д;и;V;ПРИЙТИСЬ;V pf fut pl indic - 3p;Ь
22140;;по;ПО;PR;;;придётся ... придутся _по_ вкусу каждому .;о;п;;;;;PR;ПО;PR;О
22141;;вкусу;ВКУС;S m inan dat sg;;;... придутся по _вкусу_ каждому . ;у;с;у;к;в;;S;ВКУС;S m inan dat sg;С
22142;;каждому;КАЖДЫЙ;APRO - dat sg plen m -;;;придутся по вкусу _каждому_ .  ;у;м;о;д;ж;а;APRO;КАЖДЫЙ;A - dat sg plen m -;Й
22143;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22144;;;;;;;;;;;;;;;;;
22145;# sent = 1560;;;;;;;;;;;;;;;;
22146;# speaker = Ольга;;;;;;;;;;;;;;;;
22147;# sent = 1561;;;;;;;;;;;;;;;;
22148;;Особая;ОСОБЫЙ;A - nom sg plen f -;;;   _Особая_ тема - это;я;а;б;о;с;о;A;ОСОБЫЙ;A - nom sg plen f -;Й
22149;;тема;ТЕМА;S f inan nom sg;;;  Особая _тема_ - это парижанки;а;м;е;т;;;S;ТЕМА;S f inan nom sg;А
22150;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
22151;;это;ЭТО;SPRO n - nom sg;;;Особая тема - _это_ парижанки . ;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
22152;;парижанки;ПАРИЖАНКА;S f anim nom pl;;;тема - это _парижанки_ .  ;и;к;н;а;ж;и;S;ПАРИЖАНКА;S f anim nom pl;А
22153;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
22154;;;;;;;;;;;;;;;;;
22155;# sent = 1562;;;;;;;;;;;;;;;;
22156;;Согласно;СОГЛАСНО;PR;;;.   _Согласно_ с ... распространённому;о;н;с;а;л;г;ADV;СОГЛАСНО;ADV -;О
22157;;с;;NONLEX;;;  Согласно _с_ ... распространённому стереотипу;с;;;;;;PR;С;PR;
22158;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
22159;;распространённому;РАСПРОСТРАНЕННЫЙ;A - dat sg plen m -;;;Согласно с ... _распространённому_ стереотипу , они;у;м;о;н;н;ё;A;РАСПРОСТРАНЕННЫЙ;A - dat sg plen m -;Й
22160;;стереотипу;СТЕРЕОТИП;S m inan dat sg;;;с ... распространённому _стереотипу_ , они худенькие;у;п;и;т;о;е;S;СТЕРЕОТИП;S m inan dat sg;П
22161;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22162;;они;ОНИ;SPRO pl - - nom;;;распространённому стереотипу , _они_ худенькие , серенькие;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
22163;;худенькие;ХУДЕНЬКИЙ;A - nom pl plen - -;;;стереотипу , они _худенькие_ , серенькие ,;е;и;к;ь;н;е;A;ХУДЕНЬКИЙ;A - nom pl plen - -;Й
22164;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22165;;серенькие;СЕРЕНЬКИЙ;A - nom pl plen - -;;;они худенькие , _серенькие_ , одетые очень;е;и;к;ь;н;е;A;СЕРЕНЬКИЙ;A - nom pl plen - -;Й
22166;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
22167;;одетые;ОДЕТЬ;V pf partcp praet nom pl plen - pass tran;;;, серенькие , _одетые_ очень скромно ,;е;ы;т;е;д;о;A;ОДЕТЫЙ;A - acc pl plen - inan;Ь
22168;;очень;ОЧЕНЬ;ADV -;;;серенькие , одетые _очень_ скромно , в;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
